#permanent_code,gen1,gen2,gen3,level,name,imp,org_code
50462762;3;2;42;3;Dutch;9999;7315014
50462763;3;2;43;3;Egyptian;9999;7315100
50462764;3;2;44;3;English;9999;7315101
50462765;3;2;45;3;Erotic;9999;7315132
50462766;3;2;46;3;Ethiopian;9999;7315102
50462767;3;2;47;3;Exotic;9999;7315133
50462768;3;2;48;3;Fast Food;9999;7315015
50462769;3;2;49;3;Filipino;9999;7315016
50462770;3;2;50;3;Finnish;9999;7315104
50462771;3;2;51;3;Fondue;9999;7315134
50462772;3;2;52;3;French;9999;7315017
50462773;3;2;53;3;Fusion;9999;7315071
50462774;3;2;54;3;German;9999;7315018
50462775;3;2;55;3;Greek;9999;7315019
50462776;3;2;56;3;Grill;9999;7315020
50462777;3;2;57;3;Guangdong;9999;7315054
50462778;3;2;58;3;Hamburgers;9999;7315069
50462779;3;2;59;3;Hawaiian;9999;7315021
50462780;3;2;60;3;Hot Pot;9999;7315058
50462781;3;2;61;3;Hunan;9999;7315052
50462782;3;2;62;3;Hungarian;9999;7315022
50462783;3;2;63;3;Ice Cream Parlor;9999;7315078
50462784;3;2;64;3;Indian;9999;7315023
50462785;3;2;65;3;Indonesian;9999;7315024
50462786;3;2;66;3;International;9999;7315073
50462787;3;2;67;3;Iranian;9999;7315105
50462788;3;2;68;3;Irish;9999;7315065
50462789;3;2;69;3;Israeli;9999;7315106
50462790;3;2;70;3;Italian;9999;7315025
50462791;3;2;71;3;Jamaican;9999;7315066
50462792;3;2;72;3;Japanese;9999;7315026
50462793;3;2;73;3;Jewish;9999;7315027
50462794;3;2;74;3;Korean;9999;7315028
50462795;3;2;75;3;Kosher;9999;7315067
50462796;3;2;76;3;Latin American;9999;7315029
50462797;3;2;77;3;Lebanese;9999;7315030
50462798;3;2;78;3;Luxembourgian;9999;7315107
50462799;3;2;79;3;Macrobiotic;9999;7315135
50462800;3;2;80;3;Maghrib;9999;7315108
50462801;3;2;81;3;Maltese;9999;7315031
50462802;3;2;82;3;Mauritian;9999;7315109
50462803;3;2;83;3;Mediterranean;9999;7315032
50462804;3;2;84;3;Mexican;9999;7315033
50462805;3;2;85;3;Middle Eastern;9999;7315034
50462806;3;2;86;3;Mongolian;9999;7315110
50462807;3;2;87;3;Moroccan;9999;7315074
50462808;3;2;88;3;Mussels;9999;7315136
50462809;3;2;89;3;Nepalese;9999;7315111
50462810;3;2;90;3;Norwegian;9999;7315112
50462811;3;2;91;3;Organic;9999;7315075
50462812;3;2;92;3;Oriental;9999;7315035
50462813;3;2;93;3;Pakistani;9999;7315127
50462814;3;2;94;3;Peruvian;9999;7315061
50462815;3;2;95;3;Pizza;9999;7315036
50462816;3;2;96;3;Polish;9999;7315037
50462817;3;2;97;3;Polynesian;9999;7315129
50462818;3;2;98;3;Portuguese;9999;7315038
50462819;3;2;99;3;Provençal;9999;7315130
50462820;3;2;100;3;Pub Food;9999;7315039
50462821;3;2;101;3;Roadside;9999;7315041
50462822;3;2;102;3;Rumanian;9999;7315131
50462823;3;2;103;3;Russian;9999;7315040
50462824;3;2;104;3;Salad Bar;9999;7315143
50462825;3;2;105;3;Sandwich;9999;7315042
50462826;3;2;106;3;Savoyan;9999;7315113
50462827;3;2;107;3;Scandinavian;9999;7315114
50462828;3;2;108;3;Scottish;9999;7315115
50462829;3;2;109;3;Seafood;9999;7315043
50462830;3;2;110;3;Shandong;9999;7315053
50462831;3;2;111;3;Shanghai;9999;7315055
50462832;3;2;112;3;Sichuan;9999;7315056
50462833;3;2;113;3;Sicilian;9999;7315116
50462834;3;2;114;3;Slavic;9999;7315117
50462835;3;2;115;3;Slovak;9999;7315080
50462836;3;2;116;3;Snacks;9999;7315139
50462837;3;2;117;3;Soul Food;9999;7315064
50462838;3;2;118;3;Soup;9999;7315140
50462839;3;2;119;3;Spanish;9999;7315044
50462840;3;2;120;3;Steak House;9999;7315045
50462841;3;2;121;3;Sudanese;9999;7315118
50462842;3;2;122;3;Surinamese;9999;7315046
50462843;3;2;123;3;Sushi;9999;7315148
50462844;3;2;124;3;Swedish;9999;7315119
50462845;3;2;125;3;Swiss;9999;7315047
50462846;3;2;126;3;Syrian;9999;7315120
50462847;3;2;127;3;Taiwanese;9999;7315059
50462848;3;2;128;3;Take away;9999;7315145
50462849;3;2;129;3;Tapas;9999;7315076
50462850;3;2;130;3;Teppanyakki;9999;7315121
50462851;3;2;131;3;Thai;9999;7315048
50462852;3;2;132;3;Tibetan;9999;7315122
50462853;3;2;133;3;Tunisian;9999;7315123
50462854;3;2;134;3;Turkish;9999;7315049
50462855;3;2;135;3;Unspecified;9999;7315001
50462856;3;2;136;3;Uruguayan;9999;7315124
50462857;3;2;137;3;Vegetarian;9999;7315050
50462858;3;2;138;3;Venezuelan;9999;7315125
50462859;3;2;139;3;Vietnamese;9999;7315051
50462860;3;2;140;3;Welsh;9999;7315126
